date Grocery&pharmacy Parks Residential Retail&recreation Transit_stations Workplace
02-16 2.2704243040000005 19.081277778666664 -0.6793480133333336 7.939075306666667 2.5938070319999995 0.5442171466666671
02-17 0.41184505333333327 26.327616944000006 5.4225828400000005 6.524575480000002 -2.451198341333332 -23.733276058666668
02-18 -1.1557805066666664 5.164252306666665 0.9229637520000001 -0.6592936853333334 2.907255261333334 -0.8827649119999996
02-19 0.33058741866666663 7.6315597743999986 0.21845915999999976 1.9058065039999994 3.4688446693333335 0.2691448240000002
02-20 -0.11489718933333344 0.7096193013333331 0.8139246000000002 1.2389083946666664 2.3095388053333332 -0.20233611999999995
02-21 -1.0320182453333329 8.136807743466665 0.30825748 2.2941821893333336 3.952723136000001 0.8325543919999998
02-22 3.0794926426666667 37.20766772933332 -1.0604854879999999 6.119012744 7.7052815573333335 2.908075933333334
02-23 4.160802978666669 36.5326371 -0.8491430400000001 7.829203317333336 7.521122938666667 2.4930864159999997
02-24 0.8847135306666668 10.302114663200003 0.2789014693333329 2.068750629333334 2.159878341333334 2.360885706666666
02-25 0.49685450666666653 8.522302970666667 0.37354627466666684 3.624682946666666 2.847537159999999 0.5299944666666669
02-26 3.752814856000001 5.959375224 -0.5589115706666671 8.309610669333335 5.437401834666668 1.1542471280000004
02-27 2.758577578666667 9.395979457066666 -0.16433532800000003 7.071038994666665 5.239882501333332 0.6084574746666668
02-28 4.334583496000001 14.338770118666675 -1.1330234426666674 8.204943610666664 7.421319960000002 2.2498775173333345
02-29 6.899924578666663 25.623823625066656 -1.8971250106666666 10.494469904000002 9.62744211733333 3.1063329546666676
03-01 10.077880605333338 31.86136227546667 -1.5103239733333336 14.359499869333334 10.186341095999996 3.326488872
03-02 6.076379168000001 12.793965901333333 -0.4670957840000003 7.77791013066667 2.6733072506666677 3.2406954
03-03 10.144462714666668 25.938645462240004 -0.7805954053333336 11.49361968533333 4.149207823999998 1.6819338480000001
03-04 7.225985104000004 22.039620920266675 -0.667704896 9.073789618666662 4.7939800666666645 1.9797258559999995
03-05 7.33344223733333 24.805383942639995 -0.6136201760000003 8.186400245333337 4.825803010666667 1.9175788773333335
03-06 3.714878839999999 19.668929711199997 -0.45794129866666694 5.483545685333333 4.911945352000002 2.2181755626666666
03-07 8.025964407999997 43.063508247706636 -1.4935347973333335 9.346741370666667 9.908433002666666 3.4176811119999986
03-08 8.910985610666666 64.57318468898669 -1.1816757199999999 11.798019664000002 10.256104242666664 2.200189487999999
03-09 6.796222133333334 40.912900693040015 0.12954288533333327 6.825298879999998 1.771530349333333 0.4168056426666673
03-10 7.940155485333335 29.209538595999998 0.3332608266666666 6.962487375999998 1.536372424 -0.691446453333333
03-11 11.112553189333337 33.85405118106666 -0.013181927999999895 7.937824901333332 2.4219076639999995 -0.9361727680000002
03-12 23.071794890666663 26.31028263466666 0.7932159893333336 7.099149704000002 -0.713530986666666 -2.4967124080000005
03-13 26.021270768000008 11.922353917333327 2.745724698666667 1.1804245119999996 -5.242981360000002 -5.635011946666667
03-14 16.617139890666667 13.880972148533328 3.0149434640000012 -7.7202090960000005 -5.84885359466667 -1.9868603066666655
03-15 12.744449408 18.087667500026672 3.184630738666668 -8.144193117333332 -8.563139946666666 -6.323119231999998
03-16 22.501060106666667 9.517786952266668 7.142664285333333 -6.291789869333331 -14.739529837333336 -18.373077986666676
03-17 14.218900400000003 18.567002820266662 10.342094775999994 -18.147584117333338 -17.35937640533334 -25.43106294933334
03-18 9.250625738666665 20.474282025333345 12.161636952000006 -23.622870194666667 -21.14040428533332 -29.861642295999996
03-19 5.564495165333333 6.361000939733334 14.53342037333333 -29.457881183999994 -28.787426530666664 -32.88501263999999
03-20 5.901660218666668 12.007570543733333 15.851560125333336 -32.44768611466667 -30.500524221333333 -34.026230312
03-21 -1.6215306666666676 18.222724586986672 10.823906901333334 -40.736405536000014 -28.92458665866667 -23.724807861333332
03-22 -11.625060405333334 10.582659258933331 9.795289101333335 -42.53324761866665 -37.034659704000006 -30.065185504000016
03-23 -8.546015541333333 -8.836152744000003 16.388861293333328 -36.72524990933333 -38.38982045333334 -39.05829610666669
03-24 -11.930900248 7.754353668799998 18.21693556 -39.85338437866667 -36.818072474666685 -43.09790349333333
03-25 -13.116520397333328 9.179505738613328 18.697887543999993 -40.24214332266666 -38.26860069333335 -44.607170743999994
03-26 -13.20081472266667 26.05926900376 19.246343605333347 -40.71228201866665 -40.09788129600001 -45.60503780533332
03-27 -14.556979730666669 15.519271777866665 20.459500626666653 -42.63575404533333 -43.096325165333326 -44.74408511466667
03-28 -19.209775514666664 -1.2602143858666688 13.935579338666667 -49.536174936 -44.17852429066666 -33.48320733066667
03-29 -21.727734650666672 7.789136551413334 11.557722685333337 -47.22117976000001 -47.54829185333334 -36.88309697866667
03-30 -16.728826746666673 5.67164209573333 18.259823045333334 -40.239858082666665 -43.807690477333345 -45.99403997066666
03-31 -14.986838903999997 4.286185959519999 19.65166766666667 -40.26713717066668 -41.223523114666676 -48.026378101333336
04-01 -9.33411090666667 9.889043307199998 19.283477802666663 -37.621991664000014 -40.080763594666685 -48.33567057066669
04-02 -12.36324302666667 1.8247973406959994 20.882669522666667 -42.01040667466668 -44.636210642666654 -49.22493829333334
04-03 -10.882021757333332 -8.756639820533335 22.095476725333338 -43.19060240533333 -46.34315404533334 -48.32146181866669
04-04 -14.237122210666671 1.4658789010666655 14.365386999999998 -49.72786871733332 -45.70666017333335 -36.14246977866666
04-05 -18.072339522666667 15.350346642826665 11.671811293333333 -47.85371615733335 -49.91960816799999 -38.79229111466666
04-06 -14.413941554666671 19.201252560586678 18.868032520000003 -40.814053525333335 -45.01580533066667 -48.285232824000005
04-07 -13.165579760000002 30.948789301866665 19.761017698666663 -41.12058409333334 -42.257038663999964 -50.04579910400002
04-08 -12.966324146666665 18.703975412933335 19.848309869333328 -41.18941455999999 -42.82249009333333 -50.378829053333334
04-09 -12.572190298666667 -1.8125921425600002 21.093160376 -42.435826061333316 -46.14926170399999 -50.98893100000003
04-10 -10.547564890666667 2.5851866952000004 22.99094295200001 -42.65865138400002 -48.14312308533331 -54.414152456000025
04-11 -6.517688367999996 7.505458271413334 13.67613177866667 -45.94870610133333 -46.59264931733335 -37.41589609599999
