date,state,positive
413,AK,277
413,AL,3734
413,AR,1410
413,AS,0
413,AZ,3702
413,CA,22348
413,CO,7684
413,CT,13381
413,DC,1955
413,DE,1625
413,FL,20601
413,GA,13315
413,GU,135
413,HI,499
413,IA,1710
413,ID,1426
413,IL,22025
413,IN,8236
413,KS,1376
413,KY,1963
413,LA,21016
413,MA,26867
413,MD,8936
413,ME,698
413,MI,25635
413,MN,1650
413,MO,4388
413,MP,11
413,MS,2942
413,MT,394
413,NC,4816
413,ND,331
413,NE,814
413,NH,985
413,NJ,64584
413,NM,1245
413,NV,2971
413,NY,195031
413,OH,6975
413,OK,2069
413,OR,1584
413,PA,24199
413,PR,903
413,RI,2976
413,SC,3319
413,SD,868
413,TN,5610
413,TX,13906
413,UT,2363
413,VA,5747
413,VI,51
413,VT,748
413,WA,10411
413,WI,3428
413,WV,626
413,WY,275
412,AK,272
412,AL,3525
412,AR,1280
412,AS,0
412,AZ,3539
412,CA,21794
412,CO,6893
412,CT,12035
412,DC,1875
412,DE,1479
412,FL,19355
412,GA,12452
412,GU,133
412,HI,486
412,IA,1587
412,ID,1407
412,IL,20852
412,IN,7928
412,KS,1337
412,KY,1840
412,LA,20595
412,MA,25475
412,MD,8225
412,ME,633
412,MI,24638
412,MN,1621
412,MO,4160
412,MP,11
412,MS,2781
412,MT,387
412,NC,4520
412,ND,308
412,NE,791
412,NH,929
412,NJ,61850
412,NM,1174
412,NV,2836
412,NY,188694
412,OH,6604
412,OK,1970
412,OR,1527
412,PA,22833
412,PR,897
412,RI,2665
412,SC,3319
412,SD,730
412,TN,5308
412,TX,13484
412,UT,2303
412,VA,5274
412,VI,51
412,VT,727
412,WA,10224
412,WI,3341
412,WV,611
412,WY,261
411,AK,257
411,AL,3191
411,AR,1226
411,AS,0
411,AZ,3393
411,CA,19472
411,CO,6510
411,CT,11510
411,DC,1778
411,DE,1479
411,FL,18494
411,GA,12159
411,GU,133
411,HI,465
411,IA,1510
411,ID,1396
411,IL,19180
411,IN,7435
411,KS,1268
411,KY,1693
411,LA,20014
411,MA,22860
411,MD,7694
411,ME,616
411,MI,23993
411,MN,1427
411,MO,4024
411,MP,11
411,MS,2642
411,MT,377
411,NC,4312
411,ND,293
411,NE,700
411,NH,885
411,NJ,58151
411,NM,1091
411,NV,2700
411,NY,180458
411,OH,6187
411,OK,1868
411,OR,1371
411,PA,21655
411,PR,788
411,RI,2349
411,SC,3207
411,SD,626
411,TN,5114
411,TX,12561
411,UT,2206
411,VA,5077
411,VI,51
411,VT,711
411,WA,10224
411,WI,3213
411,WV,577
411,WY,261
410,AK,246
410,AL,2968
410,AR,1171
410,AS,0
410,AZ,3112
410,CA,19472
410,CO,6510
410,CT,10538
410,DC,1660
410,DE,1326
410,FL,17531
410,GA,11483
410,GU,130
410,HI,442
410,IA,1388
410,ID,1353
410,IL,17887
410,IN,6907
410,KS,1166
410,KY,1693
410,LA,19253
410,MA,20974
410,MD,6968
410,ME,586
410,MI,22783
410,MN,1336
410,MO,3799
410,MP,11
410,MS,2469
410,MT,365
410,NC,3908
410,ND,278
410,NE,635
410,NH,819
410,NJ,54588
410,NM,1091
410,NV,2584
410,NY,170512
410,OH,5836
410,OK,1794
410,OR,1321
410,PA,19979
410,PR,725
410,RI,2015
410,SC,3065
410,SD,536
410,TN,4862
410,TX,11671
410,UT,2102
410,VA,4509
410,VI,50
410,VT,679
410,WA,10224
410,WI,3068
410,WV,554
410,WY,320
409,AK,235
409,AL,2769
409,AR,1119
409,AS,0
409,AZ,3018
409,CA,18309
409,CO,5655
409,CT,9784
409,DC,1523
409,DE,1207
409,FL,16364
409,GA,10566
409,GU,128
409,HI,435
409,IA,1270
409,ID,1232
409,IL,16422
409,IN,6351
409,KS,1106
409,KY,1346
409,LA,18283
409,MA,18941
409,MD,6185
409,ME,560
409,MI,21504
409,MN,1242
409,MO,3539
409,MP,11
409,MS,2260
409,MT,354
409,NC,3651
409,ND,269
409,NE,567
