date,state,positive
20200430,AK,355
20200430,AL,7019
20200430,AR,3255
20200430,AS,0
20200430,AZ,7648
20200430,CA,48917
20200430,CO,14758
20200430,CT,27700
20200430,DC,4323
20200430,DE,4734
20200430,FL,33690
20200430,GA,26155
20200430,GU,146
20200430,HI,613
20200430,IA,7145
20200430,ID,1984
20200430,IL,52918
20200430,IN,17835
20200430,KS,4238
20200430,KY,4539
20200430,LA,28001
20200430,MA,62205
20200430,MD,21742
20200430,ME,1095
20200430,MI,41379
20200430,MN,5136
20200430,MO,7562
20200430,MP,14
20200430,MS,6815
20200430,MT,453
20200430,NC,10509
20200430,ND,1067
20200430,NE,3784
20200430,NH,2054
20200430,NJ,118652
20200430,NM,3213
20200430,NV,4998
20200430,NY,304372
20200430,OH,18027
20200430,OK,3618
20200430,OR,2510
20200430,PA,45763
20200430,PR,1539
20200430,RI,8621
20200430,SC,6095
20200430,SD,2449
20200430,TN,10366
20200430,TX,27054
20200430,UT,4672
20200430,VA,15846
20200430,VI,66
20200430,VT,866
20200430,WA,14070
20200430,WI,6854
20200430,WV,1118
20200430,WY,544
20200429,AK,355
20200429,AL,6842
20200429,AR,3192
20200429,AS,0
20200429,AZ,7202
20200429,CA,46500
20200429,CO,14735
20200429,CT,26767
20200429,DC,4106
20200429,DE,4655
20200429,FL,33193
20200429,GA,25572
20200429,GU,145
20200429,HI,609
20200429,IA,6843
20200429,ID,1952
20200429,IL,50355
20200429,IN,17182
20200429,KS,3738
20200429,KY,4375
20200429,LA,27660
20200429,MA,60265
20200429,MD,20849
20200429,ME,1056
20200429,MI,40399
20200429,MN,4644
20200429,MO,7425
20200429,MP,14
20200429,MS,6569
20200429,MT,451
20200429,NC,9948
20200429,ND,1033
20200429,NE,3374
20200429,NH,2010
20200429,NJ,116264
20200429,NM,2974
20200429,NV,4898
20200429,NY,299691
20200429,OH,17303
20200429,OK,3473
20200429,OR,2446
20200429,PA,44366
20200429,PR,1433
20200429,RI,8247
20200429,SC,5881
20200429,SD,2373
20200429,TN,10366
20200429,TX,27054
20200429,UT,4495
20200429,VA,14961
20200429,VI,62
20200429,VT,862
20200429,WA,13842
20200429,WI,6520
20200429,WV,1095
20200429,WY,536
20200428,AK,351
20200428,AL,6687
20200428,AR,3111
20200428,AS,0
20200428,AZ,6948
20200428,CA,45031
20200428,CO,13879
20200428,CT,26312
20200428,DC,3994
20200428,DE,4575
20200428,FL,32846
20200428,GA,24615
20200428,GU,145
20200428,HI,607
20200428,IA,6376
20200428,ID,1917
20200428,IL,48102
20200428,IN,16588
20200428,KS,3491
20200428,KY,4146
20200428,LA,27286
20200428,MA,58302
20200428,MD,20113
20200428,ME,1040
20200428,MI,39262
20200428,MN,4181
20200428,MO,7303
20200428,MP,14
20200428,MS,6342
20200428,MT,451
20200428,NC,9568
20200428,ND,991
20200428,NE,3358
20200428,NH,1938
20200428,NJ,113856
20200428,NM,2823
20200428,NV,4805
20200428,NY,295106
20200428,OH,16128
20200428,OK,3410
20200428,OR,2354
20200428,PA,43264
20200428,PR,1400
20200428,RI,7926
20200428,SC,5613
20200428,SD,2313
20200428,TN,10052
20200428,TX,26171
20200428,UT,4343
20200428,VA,13794
20200428,VI,59
20200428,VT,862
20200428,WA,13686
20200428,WI,6289
20200428,WV,1079
20200428,WY,389
20200427,AK,345
20200427,AL,6499
20200427,AR,3017
20200427,AS,0
20200427,AZ,6716
20200427,CA,43464
